job_title,company_name,location,skills_required,date_posted,job_link,job_category,work_mode
"Software Engineer (Python, JavaScript, Java)",WAVENET VIỆT NAM,Ho Chi Minh,"Python, Java, JavaScript",2025-09-29 14:00:03,https://itviec.com/it-jobs/software-engineer-python-javascript-java-wavenet-viet-nam-5454/content?job_index=0&locale=en&page=2,Fullstack Developer,At office
"Software Engineer (Python, JavaScript, Java)",WAVENET VIỆT NAM,Ha Noi,"Python, Java, JavaScript",2025-09-29 14:00:04,https://itviec.com/it-jobs/gpbank_java-developer_level-middle-senior-expert_core-gpbank-3225/content?job_index=1&locale=en&page=2,Banking & Financial Systems Developer,At office
GPBank_Java Developer_Level Middle/Senior/Expert_Core,GPBank,Ho Chi Minh,"JavaScript, Docker, GitLab CI, Microservices, Entity Framework Core, AWS",2025-09-29 14:00:05,https://itviec.com/it-jobs/lead-software-engineer-java-teamflow-gmbh-2531/content?job_index=2&locale=en&page=2,Manager,At office
Lead Software Engineer (Java),Teamflow GmbH,Ho Chi Minh,"Java, CI/CD, Azure, AI, Agile, English",2025-09-29 14:00:05,https://itviec.com/it-jobs/artificial-intelligence-engineer-ai-teamflow-gmbh-2103/content?job_index=3&locale=en&page=2,AI / Machine Learning Engineer,At office
Artificial Intelligence Engineer (AI),Teamflow GmbH,Ho Chi Minh,"AI, Agile, CI/CD, Azure, English",2025-09-29 14:00:06,https://itviec.com/it-jobs/manual-qa-qc-engineer-smilegate-vietnam-5504/content?job_index=4&locale=en&page=2,Manual Tester,At office
Manual QA/QC Engineer,Smilegate Vietnam,Ho Chi Minh,"QA QC, Usability testing, White box testing, Black box testing, A/B testing, Tester",2025-09-29 14:00:07,https://itviec.com/it-jobs/senior-frontend-developer-vuejs-reactjs-angular-ahasoft-3923/content?job_index=5&locale=en&page=2,Frontend Developer,At office
"Senior Frontend Developer (VueJS, ReactJS, Angular)",Ahasoft,Ho Chi Minh,"VueJS, Angular, .NET, AI, TypeScript, ReactJS",2025-09-29 14:00:07,https://itviec.com/it-jobs/senior-java-developer-teamflow-gmbh-5309/content?job_index=6&locale=en&page=2,Backend Developer,At office
Senior Java Developer,Teamflow GmbH,Ho Chi Minh - Da Nang - Ha Noi,"Java, AI, Azure, Agile, English",2025-09-29 13:00:08,https://itviec.com/it-jobs/senior-python-full-stack-developer-hitachi-digital-services-1326/content?job_index=7&locale=en&page=2,Fullstack Developer,At office
Senior Python Full-stack Developer,Hitachi Digital Services,Ho Chi Minh,"Python, ReactJS, CSS, HTML, Cloud, AWS",2025-09-29 13:00:09,https://itviec.com/it-jobs/junior-fresher-front-end-developer-javascript-reactjs-cong-ty-tnhh-oven-3330/content?job_index=8&locale=en&page=2,Frontend Developer,Hybrid (flexible between home and office)
Junior/Fresher Front-end Dev (JavaScript/ ReactJS/ CSS),CÔNG TY TNHH OVEN,Ho Chi Minh,"JavaScript, CSS, Angular, HTML, English, ReactJS",2025-09-29 13:00:09,https://itviec.com/it-jobs/junior-fresher-back-end-developer-javascript-nodejs-cong-ty-tnhh-oven-3736/content?job_index=9&locale=en&page=2,Backend Developer,At office
Junior/Fresher Back-end Dev ( JavaScript/ NodeJS/ OOP),CÔNG TY TNHH OVEN,Ha Noi,"NodeJS, NestJS, ExpressJS, OOP, English, PHP",2025-09-29 13:00:10,https://itviec.com/it-jobs/bridge-software-engineer-brse-po-japanese-deha-viet-nam-3454/content?job_index=10&locale=en&page=2,Bridge System Engineer (BrSE),At office
"Bridge Software Engineer (BrSE, PO, Japanese)",DEHA Việt Nam,Ha Noi,"Bridge Engineer, Japanese, Project Management, Product Owner",2025-09-29 12:00:11,https://itviec.com/it-jobs/java-developer-middle-senior-team-leader-softroad-viet-nam-4019/content?job_index=11&locale=en&page=2,Backend Developer,At office
Java Developer (Middle - Senior - Team Leader),SoftRoad Việt Nam,Ho Chi Minh,"Java, GitHub, PostgreSql, Spring, SQL",2025-09-29 12:00:11,https://itviec.com/it-jobs/web-developer-daoukiwoom-innovation-0824/content?job_index=12&locale=en&page=2,Fullstack Developer,At office
Web Developer,Daoukiwoom Innovation,Ho Chi Minh,"Java, JavaScript",2025-09-29 11:00:12,https://itviec.com/it-jobs/product-manager-project-manager-product-owner-mitek-viet-nam-1919/content?job_index=13&locale=en&page=2,Product Manager,At office
Product Manager (Project Manager / Product Owner),MiTek Viet Nam,Ho Chi Minh,"Product Management, Product Owner, Business Analysis, Project Management, Agile, English",2025-09-29 11:00:13,https://itviec.com/it-jobs/middle-senior-software-developer-c-net-sql-mitek-viet-nam-0908/content?job_index=14&locale=en&page=2,Fullstack Developer,"Tòa nhà A5, Lô số A5, khu E-Office, đường Sáng Tạo, KCX Tân Thuận, Phường Tân Thuận, District 7, Ho Chi Minh"
"Middle/Senior Software Developer (C#, .Net, SQL)",MiTek Viet Nam,Ha Noi,".NET, WinForms, C#, Azure, SQL, English",2025-09-29 11:00:13,https://itviec.com/it-jobs/android-dev-mobile-app-java-kotlin-tohsoft-5801/content?job_index=15&locale=en&page=2,Mobile Application Developer,"Tòa nhà A5, Lô số A5, khu E-Office, đường Sáng Tạo, KCX Tân Thuận, Phường Tân Thuận, District 7, Ho Chi Minh"
