job_title,company_name,location,skills_required,date_posted,job_link,job_category,work_mode,crawl_date
"Backend Developer (Laravel, PHP, OOP)",CÔNG TY CP TIXIMAX,Ha Noi,"Python, LLM, Generative AI, Machine Learning, NLP, English",2025-11-29 07:13:02,https://itviec.com/it-jobs/ai-engineer-python-genai-up-to-50m-ntt-data-vds-5246/content?job_index=4&locale=en&page=31,AI / Machine Learning Engineer,At office,2025-12-20 07:17:44
Middle / Senior Data Analyst (Category Analyst),Droppii,Ho Chi Minh,"TypeScript, Leadership, Java, NodeJS, JavaScript, Python",2025-11-25 07:14:12,https://itviec.com/it-jobs/technical-lead-typescript-python-nodejs-java-hds-services-vietnam-0052/content?job_index=3&locale=en&page=36,Fullstack Developer,At office,2025-12-20 07:17:44
C#/C++/Python Developer in Machine Vision Up to $2000,Xavis Tech,Ho Chi Minh,"React Native, TypeScript, Swift, Kotlin, iOS, Android",2025-11-18 07:15:50,https://itviec.com/it-jobs/senior-ios-react-native-developer-mobile-app-unifiedpost-4128/content?job_index=5&lab_fit_jobs_page=true&lab_jr_age=496-540&lab_jr_frequency=jr-daily&locale=en&page=42,Mobile Application Developer,Hybrid (flexible between home and office),2025-12-20 07:17:44
"Fullstack Developer (NodeJS, NestJS, VueJS, Angular)",IHOUZZ TECH,Ho Chi Minh,"DevOps, CI/CD, Python, AWS",2025-11-17 07:15:53,https://itviec.com/it-jobs/devops-engineer-python-aws-ci-cd-herond-labs-3156/content?job_index=11&lab_fit_jobs_page=true&lab_jr_age=496-540&lab_jr_frequency=jr-daily&locale=en&page=42,DevOps Engineer,At office,2025-12-20 07:17:44
QA/QC Lead,10X Technology and Consulting,Ho Chi Minh,"QA QC, Kubernetes, Linux, AWS, Agile, Python",2025-12-24 08:11:04,https://itviec.com/it-jobs/qa-qc-lead-10x-technology-and-consulting-3514?lab_feature=preview_jd_page,Automation Tester,At office,2025-12-24 08:59:23
Senior AI Engineer,mgm technology partners Vietnam,Ha Noi,"Data Privacy / Compliance, Big Data",2025-12-24 07:48:05,https://itviec.com/it-jobs/ai-engineer-da-nang-hcmc-sign-on-bonus-mgm-technology-partners-vietnam-3136?lab_feature=preview_jd_page,Data Governance Specialist,At office,2025-12-24 08:59:23
Data Governance Analyst,SSI Securities Corporation,Ho Chi Minh,"Data Privacy / Compliance, Big Data",2025-12-24 07:48:05,https://itviec.com/it-jobs/data-governance-analyst-ssi-securities-corporation-3019?lab_feature=preview_jd_page,DevOps Engineer,At office,2025-12-24 08:59:23
Data Governance Analyst,SSI Securities Corporation,Ha Noi - Ho Chi Minh,"Data Analysis, Agile, Java, Python, R",2025-12-24 07:48:05,https://itviec.com/it-jobs/devops-machine-learning-operations-hcm-techcombank-3511?lab_feature=preview_jd_page,Data Analyst,At office,2025-12-24 08:59:23
Data Scientist (HN/HCM),Techcombank,Ha Noi - Ho Chi Minh,"Data Analysis, Agile, Java, C++, Machine Learning",2025-12-24 07:48:05,https://itviec.com/it-jobs/data-scientist-hn-hcm-techcombank-2524?lab_feature=preview_jd_page,Data Analyst,At office,2025-12-24 08:59:23
Data Analyst (HN/HCM),Techcombank,Ho Chi Minh,"Data Analysis, Agile, Java, C++, Machine Learning",2025-12-24 07:48:06,https://itviec.com/it-jobs/data-analyst-hn-hcm-techcombank-1757?lab_feature=preview_jd_page,Automation Tester,At office,2025-12-24 08:59:23
,Motorola Solutions,Ho Chi Minh,"Security, SOAR, SIEM, Docker, Linux, English",2025-12-24 07:48:06,https://itviec.com/it-jobs/senior-qa-automation-engineer-playwright-java-motorola-solutions-1307?lab_feature=preview_jd_page,Security Engineer,,2025-12-24 08:59:23
